Fecha,Producto bruto interno y demanda interna (índice 2007 = 100) - PBI,Bolsa de Valores de Lima - Montos Negociados en Bolsa (millones S/),Bolsa de Valores de Lima - Índices Bursátiles - Índice General BVL (base 31/12/91 = 100),Bolsa de Valores de Lima - Índices Bursátiles - Índice Selectivo BVL (base 31/12/91 = 100),Bolsa de Valores de Lima - Índices Bursátiles - SP/BVL - Financial (base 30/10/98 = 100),Bolsa de Valores de Lima - Índices Bursátiles - SP/BVL - Industrial (base 30/10/98 = 100),Bolsa de Valores de Lima - Índices Bursátiles - SP/BVL - Mining (base 30/10/98 = 100),Bolsa de Valores de Lima - Índices Bursátiles - SP/BVL - Services (base 30/10/98 = 100)
Ene22,165.9064878,1272.153,22943.81,33695.23,1008.68,282.9,427.19,578.38
Feb22,163.2271395,1260.876,23749.03,34169.05,1039.11,271.07,465.84,598.86
Mar22,171.3932736,1583.681,24915.5,35593.24,1147.85,274.37,494.12,617.98
Abr22,171.2233833,1087.47,22818.9,33306.82,975.57,264.36,443.39,579.5
May22,179.8076851,894.607,20719.04,28561.18,972.23,226.62,400.68,538.84
Jun22,178.3645328,921.587,18388.82,26132.13,859.49,220.45,330,536.09
Jul22,177.8099971,826.19,19293.66,27469.37,939.11,223.2,329.86,609.43
Ago22,178.8983229,826.19,18853.05,27077.17,918.78,226.14,314.66,614.21
Sep22,182.0941017,1404.508297,19448.06,27839.04,902.42,226.52,328.49,619.94
Oct22,183.0078867,1272.189983,21095.21,29335.64,1063.49,237.74,338.46,618.98
Nov22,180.465982,1702.330708,22455.13,30615.22,1071.78,237.03,399.62,887.14
Dic22,197.5501324,1191.510635,21330.33,30116.24,955.13,245.02,393.36,774.16
Ene23,164.8528368,636.605,22416.72,30877.28,954.52,241.06,462.58,943.53
Feb23,162.4200641,573.412,21576.43,29872.11,900.12,227.32,443.11,1022.59
Mar23,172.7033929,820.2,21898.03,30086.2,924.49,229.67,454.64,996.76
Abr23,172.3527119,583.466,21822.57,30318.89,932.61,231.97,439.47,1126.8
May23,177.6547403,703.828,21178.83,29367.42,926.5,226.77,392.47,1099.5
Jun23,177.1002648,665.824,22329.75,29866.15,1043.93,229.39,423.2,1061.68
Jul23,175.9730307,564.462,23509.38,31359.01,1091.4,235.19,483.75,1071.88
Ago23,178.8861437,1241.908,23133.53,31180.24,1014.64,245.11,480.71,1058.79
Sep23,180.3948512,585.535,22528.4,30476.7,950.32,240.88,466.47,1080.74
Oct23,181.6630398,548.437,21817.42,29084.65,927.11,233.29,452.46,1055.74
Nov23,181.6300051,545.36,21934.44,29186.35,903.03,234.29,455.64,974.84
Dic23,195.5333742,936.096,25960.01,33008.24,1068.91,243.12,571.95,1017.68
Ene24,167.4864076,1052.683,26934,34550.66,1100.77,260.64,584.32,1003.66
Feb24,167.5441374,1087.919,28231.83,36435.74,1247.76,294.5,563.37,1042.44
Mar24,171.8041197,973.857,28366.99,35969.59,1202.48,279.44,663,1034.46
Abr24,181.6375806,1299.331,29184.35,35669.86,1197.15,276.09,750.47,973.94
May24,187.1454063,6820.691,30220.4,38561.76,1238.77,289.88,762.91,1024.35
Jun24,177.3581872,1089.672,29895.87,38727.32,1244.26,286.44,732.12,1055.86
Jul24,184.1597719,839.869,29537.12,38375.36,1283.37,290.52,696.93,1070.1
Ago24,185.5610645,2119.511,28441.73,36980.54,1317.92,278.74,644.66,1052.18
Sep24,186.1575471,1496.676,29942.23,38432.31,1377.22,289.31,725.78,1054.79
Oct24,188.0775099,993.311,30470.47,39851.75,1430.61,299.71,700.72,1088.39
Nov24,189.141727,2911.435,29485.3,39196.66,1443.58,299.98,655.68,825.36
Dic24,205.1524129,2760.197,28960.95,38561.67,1400.3,284.31,617.52,778.69
Ene25,174.6282409,865.141,28984.27,37966.78,1419.26,283.6,616.01,769.36
Feb25,172.2404813,827.537,28546.83,38062.61,1379.24,283.93,598.88,743.96
Mar25,179.8342362,1599.807,30089.72,39925.54,1427.56,288.81,646.73,748.4
Abr25,184.1825501,1004.185,30107.15,38829.43,1531.17,284.4,613.81,740.03
May25,192.1459719,1429.888,31315.52,39854.9,1666.09,294.5,630.28,728.18
Jun25,185.3681614,1312.06,32725.65,41396.4,1735.26,291.78,691.23,728.73
